epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.0923,0.9077,0.0817,0.9183,0.0746,0.9254
2,0.0817,0.9183,0.0771,0.9229,0.072,0.928
3,0.0776,0.9224,0.0756,0.9244,0.0719,0.9281
4,0.076,0.924,0.0747,0.9253,0.0722,0.9278
5,0.0727,0.9273,0.0714,0.9286,0.07,0.93
6,0.0717,0.9283,0.0706,0.9294,0.0718,0.9282
7,0.0701,0.9299,0.0683,0.9317,0.0726,0.9274
8,0.069,0.931,0.0683,0.9317,0.0711,0.9289
9,0.0678,0.9322,0.067,0.933,0.0724,0.9276
10,0.067,0.933,0.0671,0.9329,0.0729,0.9271
11,0.0666,0.9334,0.0656,0.9344,0.0735,0.9265
12,0.0653,0.9347,0.0658,0.9342,0.0738,0.9262
13,0.0641,0.9359,0.0644,0.9356,0.073,0.927
14,0.0629,0.9371,0.065,0.935,0.0724,0.9276
15,0.0612,0.9388,0.0649,0.9351,0.0747,0.9253
