epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,9431.2867,0.9101,0.0807,0.9193,0.0845,0.9155
2,8292.5548,0.9176,0.077,0.923,0.0843,0.9157
3,7865.459,0.9214,0.0753,0.9247,0.0849,0.9151
4,7632.288,0.9244,0.0727,0.9273,0.0834,0.9166
5,7388.3767,0.9265,0.0723,0.9277,0.0864,0.9136
6,7267.7984,0.928,0.0696,0.9304,0.0845,0.9155
7,7079.5722,0.9297,0.0697,0.9303,0.0846,0.9154
8,7043.3152,0.9302,0.0687,0.9313,0.0854,0.9146
9,6854.0717,0.9317,0.0677,0.9323,0.0854,0.9146
10,6884.6506,0.9316,0.0667,0.9333,0.0868,0.9132
11,6721.4844,0.933,0.0654,0.9346,0.0859,0.9141
12,6662.8403,0.9338,0.0667,0.9333,0.0873,0.9127
13,6502.1306,0.9354,0.0653,0.9347,0.0871,0.9129
14,6462.7002,0.9355,0.065,0.935,0.088,0.912
15,6457.737,0.9355,0.0641,0.9359,0.0871,0.9129
16,6334.8344,0.9366,0.064,0.936,0.0881,0.9119
17,6292.4219,0.9376,0.0629,0.9371,0.0887,0.9113
18,6227.5821,0.9376,0.0628,0.9372,0.0905,0.9095
19,6183.6732,0.938,0.0621,0.9379,0.0897,0.9103
20,6109.0473,0.9389,0.0633,0.9367,0.0912,0.9088
21,6087.7477,0.9392,0.0624,0.9376,0.0902,0.9098
