epoch,Train Loss,Train dice0,Train dice1,Val Loss,Val dice0,Val dice1
1,0.4853,0.6029,0.4865,0.3389,0.7788,0.6224
2,0.3109,0.8068,0.6496,0.2793,0.8418,0.6804
3,0.2732,0.8456,0.6869,0.2705,0.8179,0.6975
4,0.2496,0.8649,0.7119,0.2347,0.8785,0.727
5,0.2203,0.8895,0.7427,0.22,0.8918,0.742
6,0.215,0.8935,0.7483,0.2152,0.8949,0.7475
7,0.2106,0.8966,0.7532,0.212,0.8961,0.7514
8,0.2076,0.8986,0.7566,0.2092,0.8984,0.7554
9,0.2046,0.9001,0.76,0.2061,0.9,0.7586
10,0.2007,0.903,0.7642,0.2044,0.8995,0.7609
11,0.2,0.9035,0.7651,0.2025,0.9024,0.762
12,0.1999,0.9032,0.7652,0.2035,0.902,0.761
13,0.1995,0.9039,0.7655,0.2037,0.9017,0.7613
14,0.1989,0.9044,0.7662,0.2038,0.9005,0.7614
15,0.1987,0.9043,0.7665,0.2027,0.9026,0.7619
16,0.1986,0.9045,0.7666,0.203,0.9011,0.7619
