epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.8872,0.1128,0.8011,0.1989,0.7881,0.2119
2,0.7273,0.2727,0.5967,0.4033,0.5585,0.4415
3,0.364,0.636,0.2462,0.7538,0.2061,0.7939
4,0.242,0.758,0.2083,0.7917,0.184,0.816
5,0.2142,0.7858,0.185,0.815,0.176,0.824
6,0.1994,0.8006,0.1776,0.8224,0.1573,0.8427
7,0.1864,0.8136,0.1727,0.8273,0.1603,0.8397
8,0.1775,0.8225,0.1737,0.8263,0.1568,0.8432
9,0.1687,0.8313,0.1659,0.8341,0.1331,0.8669
10,0.16,0.84,0.1585,0.8415,0.1477,0.8523
11,0.1558,0.8442,0.1557,0.8443,0.1371,0.8629
12,0.153,0.847,0.143,0.857,0.1234,0.8766
13,0.1475,0.8525,0.1388,0.8612,0.1112,0.8888
14,0.1439,0.8561,0.1339,0.8661,0.1073,0.8927
15,0.1406,0.8594,0.1422,0.8578,0.1354,0.8646
16,0.1378,0.8622,0.1303,0.8697,0.1629,0.8371
17,0.1354,0.8646,0.1582,0.8418,0.1212,0.8788
18,0.1318,0.8682,0.1321,0.8679,0.1265,0.8735
