epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.9533,0.0467,0.9449,0.0551,0.9393,0.0607
2,0.9325,0.0675,0.9231,0.0769,0.9227,0.0773
3,0.9052,0.0948,0.9067,0.0933,0.996,0.004
4,0.8803,0.1197,0.8629,0.1371,0.9244,0.0756
5,0.8359,0.1641,0.8257,0.1743,0.9168,0.0832
6,0.8216,0.1784,0.8052,0.1948,0.9155,0.0845
7,0.7784,0.2216,0.766,0.234,0.9215,0.0785
8,0.7442,0.2558,0.7442,0.2558,0.9208,0.0792
9,0.7017,0.2983,0.8059,0.1941,0.8866,0.1134
10,0.7116,0.2884,0.6652,0.3348,0.9075,0.0925
11,0.6686,0.3314,0.7088,0.2912,0.8987,0.1013
12,0.6685,0.3315,0.6317,0.3683,0.9147,0.0853
13,0.6252,0.3748,0.6054,0.3946,0.9011,0.0989
14,0.581,0.419,0.591,0.409,0.94,0.06
15,0.5748,0.4252,0.5492,0.4508,0.9341,0.0659
16,0.5428,0.4572,0.5196,0.4804,0.9449,0.0551
17,0.4968,0.5032,0.4931,0.5069,0.9055,0.0945
18,0.4658,0.5342,0.4543,0.5457,0.8949,0.1051
19,0.4482,0.5518,0.4322,0.5678,0.8744,0.1256
20,0.4115,0.5885,0.3692,0.6308,0.8512,0.1488
21,0.3465,0.6535,0.315,0.685,0.5065,0.4935
22,0.2787,0.7213,0.2345,0.7655,0.2889,0.7111
23,0.2279,0.7721,0.2132,0.7868,0.2727,0.7273
24,0.1911,0.8089,0.1799,0.8201,0.256,0.744
25,0.2,0.8,0.2321,0.7679,0.4299,0.5701
26,0.189,0.811,0.158,0.842,0.1987,0.8013
27,0.1658,0.8342,0.1627,0.8373,0.2108,0.7892
28,0.1622,0.8378,0.1496,0.8504,0.1917,0.8083
29,0.1462,0.8538,0.1384,0.8616,0.1864,0.8136
30,0.1325,0.8675,0.1347,0.8653,0.1828,0.8172
31,0.13,0.87,0.1303,0.8697,0.1802,0.8198
32,0.1247,0.8753,0.1285,0.8715,0.1803,0.8197
33,0.1224,0.8776,0.1294,0.8706,0.1802,0.8198
34,0.1197,0.8803,0.1284,0.8716,0.1775,0.8225
35,0.1196,0.8804,0.1277,0.8723,0.1777,0.8223
36,0.1173,0.8827,0.1257,0.8743,0.1818,0.8182
37,0.1148,0.8852,0.1245,0.8755,0.1813,0.8187
38,0.1144,0.8856,0.1241,0.8759,0.1765,0.8235
39,0.1135,0.8865,0.1228,0.8772,0.1772,0.8228
40,0.1121,0.8879,0.1236,0.8764,0.171,0.829
41,0.1105,0.8895,0.1206,0.8794,0.1702,0.8298
42,0.1101,0.8899,0.1203,0.8797,0.1749,0.8251
43,0.1108,0.8892,0.1194,0.8806,0.169,0.831
44,0.1083,0.8917,0.1202,0.8798,0.171,0.829
45,0.1078,0.8922,0.1197,0.8803,0.1732,0.8268
