epoch,Train Loss,Train dice0,Val Loss,Val dice0,Test Loss,Test dice0
1,0.7498,0.2502,0.2945,0.7055,0.1859,0.8141
2,0.2582,0.7418,0.2374,0.7626,0.1456,0.8544
3,0.2188,0.7812,0.2141,0.7859,0.1424,0.8576
4,0.2004,0.7996,0.2033,0.7967,0.1327,0.8673
5,0.1961,0.8039,0.2046,0.7954,0.1307,0.8693
6,0.1948,0.8052,0.2019,0.7981,0.1305,0.8695
7,0.1947,0.8053,0.1986,0.8014,0.1303,0.8697
8,0.194,0.806,0.1985,0.8015,0.1303,0.8697
9,0.1947,0.8053,0.1994,0.8006,0.1303,0.8697
10,0.1942,0.8058,0.202,0.798,0.1303,0.8697
11,0.1945,0.8055,0.198,0.802,0.1303,0.8697
12,0.1937,0.8063,0.2037,0.7963,0.1303,0.8697
13,0.1935,0.8065,0.199,0.801,0.1303,0.8697
14,0.1947,0.8053,0.1982,0.8018,0.1303,0.8697
15,0.1942,0.8058,0.2035,0.7965,0.1303,0.8697
16,0.1943,0.8057,0.1969,0.8031,0.1303,0.8697
