epoch,Train Loss,Train dice0,Train dice1,Val Loss,Val dice0,Val dice1
1,0.7377,0.3428,0.1756,0.4017,0.8309,0.2965
2,0.4345,0.7474,0.3467,0.2795,0.8595,0.2634
3,0.2893,0.8418,0.4162,0.1935,0.9142,0.4635
4,0.2436,0.8676,0.5267,0.1722,0.919,0.5523
5,0.2081,0.8889,0.605,0.1622,0.924,0.596
6,0.202,0.8926,0.6171,0.1644,0.9206,0.6021
7,0.1982,0.8945,0.6249,0.1609,0.9233,0.6074
8,0.1946,0.8967,0.6319,0.1565,0.9241,0.6283
9,0.191,0.8991,0.6374,0.161,0.9206,0.6139
10,0.1868,0.9018,0.6449,0.1529,0.927,0.6334
11,0.186,0.9024,0.6462,0.1521,0.9276,0.6314
12,0.1854,0.9031,0.6466,0.1504,0.9279,0.6385
13,0.1855,0.9028,0.6473,0.154,0.9264,0.6248
14,0.1855,0.9028,0.6474,0.1489,0.9292,0.638
15,0.1853,0.9027,0.6484,0.1501,0.9287,0.6366
16,0.1845,0.9035,0.6483,0.1525,0.9268,0.631
17,0.1847,0.9033,0.6488,0.1508,0.9276,0.6367
18,0.1848,0.9031,0.6486,0.15,0.9288,0.6351
19,0.1845,0.9036,0.6486,0.1538,0.9259,0.632
