epoch,Train Loss,Train dice0,Train dice1,Val Loss,Val dice0,Val dice1
1,0.4981,0.6271,0.4578,0.3037,0.8181,0.647
2,0.2816,0.832,0.6714,0.2459,0.8549,0.7106
3,0.2496,0.8584,0.7054,0.2306,0.8758,0.7223
4,0.2335,0.8721,0.7225,0.2072,0.8921,0.7503
5,0.2089,0.8936,0.7482,0.1897,0.9021,0.7707
6,0.2032,0.8979,0.7544,0.1896,0.8984,0.7729
7,0.2005,0.8995,0.7576,0.1951,0.8909,0.7681
8,0.1992,0.8998,0.7594,0.1918,0.9004,0.7701
9,0.1966,0.9018,0.7622,0.1876,0.8985,0.7772
10,0.194,0.9037,0.7649,0.1856,0.9038,0.777
11,0.1932,0.9046,0.7658,0.1853,0.9048,0.7771
12,0.1934,0.9039,0.7657,0.1835,0.9063,0.7788
13,0.1932,0.9044,0.7658,0.1889,0.8983,0.7739
14,0.1931,0.9043,0.7659,0.1801,0.9069,0.7831
15,0.1922,0.9052,0.7667,0.1861,0.9037,0.7764
16,0.1922,0.9054,0.7668,0.1836,0.9046,0.779
17,0.1934,0.9036,0.766,0.1848,0.9025,0.7789
18,0.193,0.9045,0.7662,0.1852,0.9033,0.7781
19,0.1929,0.9047,0.766,0.1843,0.905,0.7787
