epoch,Train Loss,Train dice0,Val Loss,Val dice0
1,9234.3256,0.8486,0.1324,0.8676
2,8173.0431,0.8618,0.1162,0.8838
3,7395.8802,0.8719,0.1054,0.8946
4,6875.9931,0.879,0.1169,0.8831
5,5321.8035,0.8977,0.0989,0.9011
6,5100.0432,0.9011,0.0941,0.9059
7,5010.4702,0.902,0.094,0.906
8,4905.808,0.9044,0.094,0.906
9,4852.0888,0.9051,0.092,0.908
10,4655.1948,0.9085,0.0915,0.9085
11,4632.8004,0.9083,0.0925,0.9075
12,4631.5116,0.9074,0.0939,0.9061
13,4622.8224,0.9093,0.0923,0.9077
14,4628.6184,0.9095,0.0911,0.9089
15,4608.0198,0.9096,0.0918,0.9082
16,4587.2594,0.9097,0.0913,0.9087
17,4595.375,0.9091,0.0906,0.9094
18,4620.7684,0.909,0.0927,0.9073
19,4625.7381,0.9092,0.0903,0.9097
20,4582.6837,0.9086,0.0919,0.9081
21,4564.935,0.9104,0.0921,0.9079
22,4633.0528,0.9088,0.0913,0.9087
23,4593.2968,0.9091,0.0903,0.9097
24,4581.5984,0.9103,0.0904,0.9096
